16,75,118,87
16,89,194,109
16,33,194,53
16,220,118,236
16,45,194,66
0,497,168,510
16,127,101,143
16,11,194,41
0,487,59,497
0,397,177,411
168,226,194,237
0,464,168,476
59,432,160,442
118,115,194,128
168,242,194,255
16,295,109,310
0,419,160,432
168,298,194,311
0,475,177,489
92,486,177,500
16,203,160,218
16,314,84,328
92,510,160,522
8,332,84,346
168,261,194,274
0,361,194,377
135,443,160,455
8,258,118,272
0,408,194,422
0,452,160,465
8,275,194,293
0,380,76,393
8,239,109,254
0,508,67,523
0,442,118,454
168,131,194,147
16,183,152,200
16,146,118,163
168,153,194,163
16,165,101,179
109,381,160,394
